glacier,Carrivick,HF,Bedmap2,Deepbedmap,Bedmachine,Shahateet
Landau_term,0.11385922225585,0.143616636618024,0,0,0.00764173727291,0.104872071698458
Lawrie_Glacier,0.459186621490781,1.14710527611275,0.030482621651497,0,0.022213674799058,0.573491977129283
Leay_Glacier1,0.177999637196192,0.145004793806563,0.07937148969269,0.485044399079125,0.003081324082646,0.179557437773219
Leay_Glacier2,0.133096222879114,0.444784866692389,0.260139890279422,0.123119679451544,0.001288063579828,0.220487505133915
Leonardo_term,0.145571587425303,0.223498768188887,0.001361884716906,2.96101732825517E-05,0.006285692388211,0.141350315341201
Leppard_Glacier,2.15463787068054,1.8689190212409,1.91087992264388,2.3112551759072,2.06855527295264,1.22226754123411
Lever_Glacier,0.693929401781581,0.748800480169351,0,0,0.007082711953783,0.324277167240754
Lewis_Glacier,0.202641274634727,0.297702209976994,0.204334849842583,0.075548591374593,0.404638765417245,0.301076888467925
Lind_Glacier,0.038554806862711,0.053235304579095,0,0.000358333602271,0.000615196689296,0.0466113229155206
Lliboutry_Glacier,0.110990482907908,0.181066152624223,0.003618262810733,0,0.000554505027683,0.105763410259555
Luke_Glacier,0.122915233020668,0.392174056063947,0.004184381099148,0,0.001656734493284,0.282719114151998
Lurabee_Glacier,0.235768882905669,0.866825296700974,0.604042961292223,0.215118917132564,0.546996444568881,0.630355028578294
Maitland_Glacier,0.40614265096241,0.341290036283241,0.23724393279091,0.441895452222713,0.371110287555708,0.172310930623663
Mapple_Glacier,0.042183056781286,0.031126238157685,0.019730330135256,0.007740842351312,0.003602639588087,0.0390520861781947
Martin_Glacier,0.182240774527046,0.318231969722031,0.099906465908623,0.062353783514414,0.162266352418194,0.243899579681871
Matthes_Glacier,0.091154757463756,0.386029652570834,0.407670800703787,0.082449467474976,0.500040221235978,0.288777195953868
McCance_Glacier,1.48130154356021,1.8783277699617,0,1.10274149650868,0.009789559028595,1.00613116378024
McMorrin_Glacier,0.006835212611486,0.014575289748824,0,0.001911093294652,6.54683320637887E-05,0.0102042255678889
McNeile_term,0.222224396601326,0.269490015567441,0,0,0.000871106327058,0.190609258164406
Melville_Glacier,0.111930150130384,0.124545598102782,0.048385552678357,0.073604742219788,0.003084708290784,0.0626335145337774
MercatorPiedmont_Glacier,4.40569821450155,3.682194270795,3.53456024083326,3.5310327070307,3.54526892415058,2.41709709531067
Miethe_Glacier,0.075606473929369,0.113257755837124,0,0.013383619584494,0.001742612984804,0.0657631645884311
Mitterling_Glacier,0.017231958001147,0.024201939619692,0.010606856338601,0,0.011212129021989,0.0184029074998407
Mondor_term,0.00801957763737,0.009142007580038,0.000225958239273,0.007654782915001,3.55337615776265E-05,0.0084955698592561
Montgolfier_term,0.084357538205188,0.202054380510615,0,0.064055259227125,0.007717912977167,0.152152403052523
Morrison_Glacier1,0.031598383156524,0.081180956627359,0.004678481952342,0,0.014456276021405,0.0435399260694842
Morrison_Glacier2,0.003786249215108,0.005570112868214,0.000943749613622,0,1.51302520585475E-05,0.00268430967373381
Muller_IceShelf,1.20945561495019,0.395681007006736,0.088951823768711,0.181662681152882,0.04934978599503,0.470031188060603
Neny_Glacier,0.493391237391714,0.544258030687529,0.250609211254491,0,2.96242859257589E-05,0.365066367071773
