glacier,Carrivick,HF,Shahateet,diff_car,diff_hf
ADD_1540,0.021751507321171,0.030605872099842,0.0367027667535512,0.511554019583512,0.181162322030877
ADD_1541,0.166293144784103,0.17883773449872,0.160006902420565,0.038530441030522,0.111147293044751
ADD_1549,0.039475295255418,0.040887357363548,0.0533161869502037,0.298322461626702,0.263871803915585
ADD_1550,0.025485096115956,0.034224791261687,0.0410014899721415,0.466752611891536,0.180168382626552
ADD_1551,0.002234411550796,0.004281612171918,0.00661334487615739,0.989840387563476,0.428038897987449
ADD_1553,0.009472881252847,0.016560945030395,0.0222700282447202,0.806299560716322,0.294047907266021
ADD_1554,0.031776790355624,0.027020192662854,0.017034824570086,0.604035158761901,0.453313548373869
ADD_1570,0.026938078180497,0.062817815667197,0.0706536565390717,0.895886900344421,0.117415965259828
ADD_1573,0.00384915123833,0.007137702090432,0.00868363870174515,0.77149421422221,0.195424222462554
ADD_1584,0.01632153018517,0.018048950027515,0.0120689246678679,0.299579949621487,0.397108057599021
ADD_1586,0.060501198618411,0.050316848720762,0.0514299875371729,0.162085499007027,0.0218805587937696
ADD_1589,0.015119571280767,0.025320413937394,0.0188086102686112,0.217461639226097,0.295125658722209
ADD_1592,0.007693537802389,0.013457658161469,0.0141613115168135,0.591884539669799,0.0509543522833004
ADD_1607,0.014174188780336,0.045318645050792,0.0307804870082847,0.738801823687147,0.38208472683292
ADD_1608,0.015068161919779,0.01608452824506,0.00914134316754239,0.489627419549399,0.550481286767277
ADD_1612,0.015727981674569,0.040743352909106,0.0334179304912307,0.719895024309754,0.197553820052743
ADD_1615,0.005660373808638,0.008958975017606,0.00890627203630589,0.445661720923152,0.00590005625346991
ADD_1617,0.002956023442084,0.007575496890805,0.006839994980749,0.792969423089704,0.10204326243038
ADD_1620,0.006529612899286,0.02172050032776,0.0234267056053445,1.12811543938195,0.0755840917425817
ADD_1622,0.004008954195498,0.010406246521457,0.00547633165770118,0.309400788740229,0.620795290052477
ADD_1624,0.00117815939927,0.002150939011402,0.0020882766118982,0.557253967024879,0.0295632046453998
ADD_1631,0.006473588236686,0.01400652747662,0.0165804364435955,0.876796858429154,0.168301043129969
ADD_1634,0.014319505600754,0.029378926988255,0.0419995289390125,0.982972224735629,0.353624963913972
ADD_1638,0.003517913972614,0.003638552975909,0.0026293096595444,0.289107527639301,0.322037471164712
ADD_1640,0.001860652336581,0.004322437419517,0.00456028982385272,0.840885159784515,0.0535539137517159
ADD_1642,0.005767075167316,0.00940794083309,0.00774483431859426,0.292743102422437,0.193916902633967
ADD_1655,0.228831445699265,0.243250351568854,0.174123548373684,0.271533536649391,0.331246410974366
ADD_1658,0.003117205429371,0.006079304539715,0.00732524326463126,0.805948481734403,0.18589791212685
ADD_1673,0.010291140170388,0.018966417941379,0.0258785023201731,0.861903025657653,0.308266101867515
ADD_1694,0.624864364471331,0.552771190353106,0.420207909581349,0.391659907111201,0.272489472344652
ADD_1709,0.009807154750322,0.010329402708831,0.010255690896996,0.0447131134395146,0.00716166885091408
ADD_1715,0.09043088222577,0.082890192350291,0.0921899018558349,0.0192641778306993,0.106233773150649
ADD_1718,0.940697732554319,0.851164833039035,0.377199513414434,0.855147426498599,0.771701524866027
ADD_1724,0.264996841019037,0.287161547849866,0.203405944970808,0.262982620472989,0.341464137370695
ADD_1738,0.009382524170133,0.007090581950159,0.0110757339902876,0.165528248483085,0.438740805036404
ADD_1768,0.016736526672724,0.025937035003892,0.0268622476300725,0.464495670773892,0.03504640896713
ADD_1805,0.51749099597442,0.291342524105897,0.520568717133763,0.00592975745128865,0.564658256678092
ADD_1806,1.48215164007287,1.41227042496795,1.23256949264816,0.183873138508741,0.135887946278247
ADD_1808,0.083962358412885,0.03944420969303,0.0597220063802509,0.337411131232451,0.408965825059539
ADD_1811,0.012117483723367,0.032464519138533,0.0251039175974697,0.697793925712992,0.255716568258316
ADD_1816,0.042802134538788,0.079678240777696,0.0649950908887966,0.411753758261937,0.202983503867149
ADD_1836,0.005973610530158,0.017549184280512,0.0194536281146193,1.06028167452859,0.102935085785959
ADD_1858,0.200604326119378,0.218410292601908,0.249474324925753,0.217162039092028,0.132785012202324
ADD_1869,0.111035810561351,0.086204975333131,0.06439338454782,0.531752152023556,0.289665714853113
ADD_1894,0.121232277187583,0.098913763364396,0.116878616444626,0.0365683457530655,0.166501274012818
ADD_1901,0.066412884279513,0.153286362708487,0.137575381831079,0.697711676346965,0.108030575848182
ADD_1929,0.016344189030195,0.040329513288497,0.0369199758226673,0.772593988821984,0.0882733984408175
ADD_1932,0.2595208416808,0.256289434878715,0.157327433221562,0.490314652174941,0.478520144072851
ADD_1933,0.131855284971347,0.13523152421586,0.148986735835229,0.122000623800389,0.0967932997471484
ADD_1937,0.001521755263449,0.00398125831213,0.0046699902508725,1.01691356020419,0.15922139647863
ADD_1938,0.009663292688312,0.010578036462346,0.0151357962068716,0.441347143170445,0.354498670280433
ADD_1943,0.042249148313242,0.048534581708432,0.073125416751785,0.535235273409536,0.404255060900633
ADD_1960,0.002323208611153,0.005811104387519,0.00569327386963052,0.840784038774107,0.0204844651757261
ADD_1961,0.026917150631503,0.053807478607905,0.0567902387894756,0.71375032394657,0.0539389103457436
ADD_1962,0.055616011177631,0.062399972585838,0.0402942680506724,0.319501585236489,0.4305149811353
ADD_1966,0.06487150123131,0.074925369834438,0.0631668085166125,0.0266278540860723,0.170300178594236
ADD_1973,0.026809008067176,0.036424866209347,0.0337154129304539,0.228218783408051,0.0772581264894233
ADD_1988,0.058276239587259,0.056366714756149,0.0541112811973015,0.074117808825794,0.0408304574930527
ADD_1992,0.022842875234592,0.050703983131943,0.0386370987220794,0.513800591347632,0.270130698206232
ADD_1994,0.003581254504983,0.012334594017113,0.0128409380381179,1.12770368619566,0.0402250899718081
ADD_2009,0.027788824843924,0.056026214304097,0.0423782539537707,0.415848268442551,0.277384972287274
ADD_2013,0.21322741536365,0.136071915906835,0.133091996546879,0.462783292306317,0.0221420422432628
ADD_2034,0.220079283015099,0.134631367394252,0.123751815023053,0.560318531637632,0.0842125425456509
ADD_2069,0.043351043533527,0.039980539945946,0.0299185782361587,0.366658513390219,0.287899532110645
ADD_2125,0.022786352582976,0.020543404431859,0.0171336637472553,0.283200727622946,0.180998195952722
ADD_2219,0.026149108447956,0.019817344121333,0.0188059558764492,0.326688558090678,0.0523719229036294
ADD_2270,0.01289657308355,0.01905045318293,0.00915910441713706,0.338912161396676,0.701276418866592
ADD_2321,0.049952781306328,0.066394266464225,0.0435794301883552,0.136281416126573,0.414914419907963
ADD_2365,0.072319839485597,0.03576320867474,0.0808860148545544,0.111825692377767,0.773649490576894
ADD_2486_2,0.205481475147197,0.15535968030077,0.0923253960369382,0.759929270001926,0.508987341472986
ADD_2486,0.141351839487185,0.102338403621559,0.122058320103349,0.146490320751693,0.175759397503192
Ahlmann_Glacier,0.211360132415903,0.421614787546152,0.40595694578742,0.630459840631279,0.0378404460376144
Aitkenhead1_term,0.070397853142345,0.252824065017365,0.118030243290063,0.505576302574435,0.72693679813239
Aitkenhead2_term,0.102833477750838,0.232558396371183,0.149986572681792,0.373017051853797,0.431697344726844
AMR_term,0.084245431634247,0.306276626234171,0.21108147711123,0.858953530619824,0.368004863584349
Anderson_Glacier,0.223269454379388,0.406170556100442,0.257339831536491,0.141779937073735,0.448616110123026
Andrew_term,0.160232416785005,0.162153492196292,0.170309760132683,0.0609746292690962,0.0490656809692779
Anthony_Glacier,0.640731437730546,0.895623391755533,0.761435573894365,0.17216798735543,0.161959013701772
Aphrodite_Glacier,0.153554622464513,0.123422527935149,0.100446148624745,0.418175689876983,0.205266584530479
APPE_term,1.10277266762688,0.596000587085772,0.493809657841411,0.762833209501871,0.18753894032477
Archer_Glacier,0.053117134125078,0.193389197309281,0.103182807466075,0.640635854771565,0.608327073295637
Arena_term,0.016386163680949,0.014013929439161,0.0118569505502976,0.320730433164522,0.166749557010994
ArronIcefall1_term,0.886230711684731,0.615168322291057,0.628219205200919,0.340732966613241,0.0209924623197513
Athene_Glacier,0.082200113787187,0.113523677178762,0.0682625790131382,0.185262333335279,0.4979595170038
Attlee_Glacier,0.496183919335111,0.590344265895709,0.546427373196111,0.0963800300666615,0.0772659893849634
Avsyuk_Glacier,0.65323136898366,0.608800058587776,0.397625831223506,0.486470545588428,0.419651818384497
Bader_Galcier1,0.000617770577801,0.002248315307051,0.00130602404183323,0.715516570228362,0.530220202814102
