Lon,Lat,Thick,Elev,Unc,Day,Qual,Source
-6.0323578000000005e+01,-6.6779944999999842e+01,177.0300,497.0354,9.1157,735301,1,IRMCR2_20091116_01
-6.0324751999999997e+01,-6.6784515999999840e+01,184.6200,497.2293,9.1757,735301,1,IRMCR2_20091116_01
-6.0325913000000007e+01,-6.6789037999999834e+01,184.7100,497.3478,9.1764,735301,1,IRMCR2_20091116_01
-6.0327086000000001e+01,-6.6793614999999832e+01,192.1500,497.1960,9.2374,735301,1,IRMCR2_20091116_01
-6.0328257999999998e+01,-6.6798191999999844e+01,195.5700,497.0854,9.2660,735301,1,IRMCR2_20091116_01
-6.0329422999999998e+01,-6.6802767999999830e+01,192.1500,497.0160,9.2374,735301,1,IRMCR2_20091116_01
-6.0330593000000007e+01,-6.6807344999999842e+01,190.4100,496.9878,9.2229,735301,1,IRMCR2_20091116_01
-6.0331768000000004e+01,-6.6811920999999842e+01,188.0000,497.0008,9.2031,735301,1,IRMCR2_20091116_01
-6.0332942000000003e+01,-6.6816495999999844e+01,191.6000,497.0549,9.2328,735301,1,IRMCR2_20091116_01
-6.0334119000000001e+01,-6.6821068999999838e+01,190.2600,497.1502,9.2217,735301,1,IRMCR2_20091116_01
-6.0335297000000004e+01,-6.6825641999999831e+01,197.7600,497.2866,9.2846,735301,1,IRMCR2_20091116_01
-6.0336478000000007e+01,-6.6830211999999833e+01,202.0100,497.4640,9.3211,735301,1,IRMCR2_20091116_01
